gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceAboveSurface	distanceAboveSurfaceAccuracy	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	acceptedTaxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	genericName	acceptedScientificName	verbatimScientificName	typifiedName	protocol	lastParsed	lastCrawled	repatriated	relativeOrganismQuantity	recordedByID	identifiedByID	level0Gid	level0Name	level1Gid	level1Name	level2Gid	level2Name	level3Gid	level3Name
1839299890																										urn:uuid:25dd839a-f269-4ea6-8a7e-e4e0561c9540										CC0_1_0					Rådgivende Biologer																		Asplan Viak AS	Boreonemoral regnskog Sveio	Boreonemoral regnskog i Sveio		HUMAN_OBSERVATION				urn:uuid:25dd839a-f269-4ea6-8a7e-e4e0561c9540	PGI 2187		Per Gerhard Ihlen									PRESENT																			2013-10-16T00:00:00				2013	10	16		In bilberry forest dominated by Pinus sylvestris and Betula pubescens										EUROPE				NO	Hordaland		Sveio	North of Gaddaråsen								59.60042	5.50789				UTM																																Per Gerhard Ihlen							2688971						Plagiochila punctata (Taylor) Taylor								Plantae	Marchantiophyta	Jungermanniopsida	Jungermanniales	Plagiochilaceae	Plagiochila		punctata		SPECIES				ACCEPTED			787e8928-0088-42f4-8922-1ba5ecd4fa5d	NO	2020-09-01T15:15:17.829Z	100.0						GEODETIC_DATUM_ASSUMED_WGS84		true	false	2688971	2688971	6	9	126	381	2278	2688968		2688971	Plagiochila punctata	Plagiochila	Plagiochila punctata (Taylor) Taylor	Plagiochila punctata		DWC_ARCHIVE	2020-09-01T15:15:17.829Z	2020-09-01T10:12:45.450Z	false				NOR	Norway	NOR.7_1	Hordaland	NOR.7.29_1	Sveio		
1839299939																										urn:uuid:63e267b2-ec94-49b9-b6f0-626fdfb4a2b8										CC0_1_0					Rådgivende Biologer																		Asplan Viak AS	Boreonemoral regnskog Sveio	Boreonemoral regnskog i Sveio		HUMAN_OBSERVATION				urn:uuid:63e267b2-ec94-49b9-b6f0-626fdfb4a2b8	PGI 2181		Per Gerhard Ihlen									PRESENT																			2013-10-15T00:00:00				2013	10	15		In bilberry forest dominated by Betula pubescens										EUROPE				NO	Hordaland		Sveio	Niing								59.61917	5.50524				UTM																																Per Gerhard Ihlen							5837556						Scapania gracilis Lindb.								Plantae	Marchantiophyta	Jungermanniopsida	Jungermanniales	Scapaniaceae	Scapania		gracilis		SPECIES				ACCEPTED			787e8928-0088-42f4-8922-1ba5ecd4fa5d	NO	2020-09-01T15:15:17.839Z	130.0						GEODETIC_DATUM_ASSUMED_WGS84		true	false	5837556	5837556	6	9	126	381	6129	2689215		5837556	Scapania gracilis	Scapania	Scapania gracilis Lindb.	Scapania gracilis		DWC_ARCHIVE	2020-09-01T15:15:17.839Z	2020-09-01T10:12:45.450Z	false				NOR	Norway	NOR.7_1	Hordaland	NOR.7.29_1	Sveio		
1839299955																										urn:uuid:395f0897-4302-4003-9d52-7603f2d8814e										CC0_1_0					Rådgivende Biologer																		Asplan Viak AS	Boreonemoral regnskog Sveio	Boreonemoral regnskog i Sveio		HUMAN_OBSERVATION				urn:uuid:395f0897-4302-4003-9d52-7603f2d8814e	PGI 2179		Per Gerhard Ihlen									PRESENT																			2013-10-15T00:00:00				2013	10	15		In bilberry forest dominated by Betula pubescens										EUROPE				NO	Hordaland		Sveio	Niing								59.61917	5.50524				UTM																																Per Gerhard Ihlen							2688971						Plagiochila punctata (Taylor) Taylor								Plantae	Marchantiophyta	Jungermanniopsida	Jungermanniales	Plagiochilaceae	Plagiochila		punctata		SPECIES				ACCEPTED			787e8928-0088-42f4-8922-1ba5ecd4fa5d	NO	2020-09-01T15:15:17.840Z	130.0						GEODETIC_DATUM_ASSUMED_WGS84		true	false	2688971	2688971	6	9	126	381	2278	2688968		2688971	Plagiochila punctata	Plagiochila	Plagiochila punctata (Taylor) Taylor	Plagiochila punctata		DWC_ARCHIVE	2020-09-01T15:15:17.840Z	2020-09-01T10:12:45.450Z	false				NOR	Norway	NOR.7_1	Hordaland	NOR.7.29_1	Sveio		
1839299927																										urn:uuid:7b26df3c-2ef1-43a3-9a2a-a7458d7444d1										CC0_1_0					Rådgivende Biologer																		Asplan Viak AS	Boreonemoral regnskog Sveio	Boreonemoral regnskog i Sveio		HUMAN_OBSERVATION				urn:uuid:7b26df3c-2ef1-43a3-9a2a-a7458d7444d1	PGI 2171		Per Gerhard Ihlen									PRESENT																			2013-10-15T00:00:00				2013	10	15		In bilberry forest dominated by Pinus sylvestris										EUROPE				NO	Hordaland		Sveio	North of mt. Vardafjellet								59.57011	5.51534				UTM																																Per Gerhard Ihlen							2688740						Frullania dilatata (L.) Dumort.								Plantae	Marchantiophyta	Jungermanniopsida	Porellales	Frullaniaceae	Frullania		dilatata		SPECIES				ACCEPTED			787e8928-0088-42f4-8922-1ba5ecd4fa5d	NO	2020-09-01T15:15:17.842Z	70.0						GEODETIC_DATUM_ASSUMED_WGS84		true	false	2688740	2688740	6	9	126	377	2269	2688736		2688740	Frullania dilatata	Frullania	Frullania dilatata (L.) Dumort.	Frullania dilatata		DWC_ARCHIVE	2020-09-01T15:15:17.842Z	2020-09-01T10:12:45.450Z	false				NOR	Norway	NOR.7_1	Hordaland	NOR.7.29_1	Sveio		
1839299914																										urn:uuid:b318599a-1a9c-4b2e-a331-84b127b5b679										CC0_1_0					Rådgivende Biologer																		Asplan Viak AS	Boreonemoral regnskog Sveio	Boreonemoral regnskog i Sveio		HUMAN_OBSERVATION				urn:uuid:b318599a-1a9c-4b2e-a331-84b127b5b679	PGI 2178		Per Gerhard Ihlen									PRESENT																			2013-10-15T00:00:00				2013	10	15		In bilberry forest dominated by Pinus sylvestris and Betula pubescens										EUROPE				NO	Hordaland		Sveio	South of Niing								59.61674	5.51003				UTM																																Per Gerhard Ihlen							5837556						Scapania gracilis Lindb.								Plantae	Marchantiophyta	Jungermanniopsida	Jungermanniales	Scapaniaceae	Scapania		gracilis		SPECIES				ACCEPTED			787e8928-0088-42f4-8922-1ba5ecd4fa5d	NO	2020-09-01T15:15:17.843Z	120.0						GEODETIC_DATUM_ASSUMED_WGS84		true	false	5837556	5837556	6	9	126	381	6129	2689215		5837556	Scapania gracilis	Scapania	Scapania gracilis Lindb.	Scapania gracilis		DWC_ARCHIVE	2020-09-01T15:15:17.843Z	2020-09-01T10:12:45.450Z	false				NOR	Norway	NOR.7_1	Hordaland	NOR.7.29_1	Sveio		
1839299907																										urn:uuid:3b1824ae-c312-47ee-ad2d-72b7ddad51a8										CC0_1_0					Rådgivende Biologer																		Asplan Viak AS	Boreonemoral regnskog Sveio	Boreonemoral regnskog i Sveio		HUMAN_OBSERVATION				urn:uuid:3b1824ae-c312-47ee-ad2d-72b7ddad51a8	PGI 2192		Per Gerhard Ihlen									PRESENT																			2013-10-30T00:00:00				2013	10	30		In bilberry forest dominated by Pinus sylvestris and Betula pubescens										EUROPE				NO	Hordaland		Sveio	Near Slettavika								59.65768	5.52336				UTM																																Per Gerhard Ihlen							2688971						Plagiochila punctata (Taylor) Taylor								Plantae	Marchantiophyta	Jungermanniopsida	Jungermanniales	Plagiochilaceae	Plagiochila		punctata		SPECIES				ACCEPTED			787e8928-0088-42f4-8922-1ba5ecd4fa5d	NO	2020-09-01T15:15:17.853Z	40.0						GEODETIC_DATUM_ASSUMED_WGS84		true	false	2688971	2688971	6	9	126	381	2278	2688968		2688971	Plagiochila punctata	Plagiochila	Plagiochila punctata (Taylor) Taylor	Plagiochila punctata		DWC_ARCHIVE	2020-09-01T15:15:17.853Z	2020-09-01T10:12:45.450Z	false				NOR	Norway	NOR.7_1	Hordaland	NOR.7.29_1	Sveio		
1839299925																										urn:uuid:bdadbcb4-30db-4f7d-a21f-60290bded8df										CC0_1_0					Rådgivende Biologer																		Asplan Viak AS	Boreonemoral regnskog Sveio	Boreonemoral regnskog i Sveio		HUMAN_OBSERVATION				urn:uuid:bdadbcb4-30db-4f7d-a21f-60290bded8df	PGI 2185		Per Gerhard Ihlen									PRESENT																			2013-10-16T00:00:00				2013	10	16		In bilberry forest dominated by Pinus sylvestris and Betula pubescens										EUROPE				NO	Hordaland		Sveio	North of Geitaberget								59.59933	5.52145				UTM																																Per Gerhard Ihlen							2688971						Plagiochila punctata (Taylor) Taylor								Plantae	Marchantiophyta	Jungermanniopsida	Jungermanniales	Plagiochilaceae	Plagiochila		punctata		SPECIES				ACCEPTED			787e8928-0088-42f4-8922-1ba5ecd4fa5d	NO	2020-09-01T15:15:17.856Z	40.0						GEODETIC_DATUM_ASSUMED_WGS84		true	false	2688971	2688971	6	9	126	381	2278	2688968		2688971	Plagiochila punctata	Plagiochila	Plagiochila punctata (Taylor) Taylor	Plagiochila punctata		DWC_ARCHIVE	2020-09-01T15:15:17.856Z	2020-09-01T10:12:45.450Z	false				NOR	Norway	NOR.7_1	Hordaland	NOR.7.29_1	Sveio		
1839299923																										urn:uuid:1c81a995-8c8f-49fd-8908-ab932ab44779										CC0_1_0					Rådgivende Biologer																		Asplan Viak AS	Boreonemoral regnskog Sveio	Boreonemoral regnskog i Sveio		HUMAN_OBSERVATION				urn:uuid:1c81a995-8c8f-49fd-8908-ab932ab44779	PGI 2168		Per Gerhard Ihlen									PRESENT																			2013-10-15T00:00:00				2013	10	15		In bilberry forest dominated by Pinus sylvestris										EUROPE				NO	Hordaland		Sveio	North of mt. Vardafjellet								59.56971	5.51872				UTM																																Per Gerhard Ihlen							2688971						Plagiochila punctata (Taylor) Taylor								Plantae	Marchantiophyta	Jungermanniopsida	Jungermanniales	Plagiochilaceae	Plagiochila		punctata		SPECIES				ACCEPTED			787e8928-0088-42f4-8922-1ba5ecd4fa5d	NO	2020-09-01T15:15:17.862Z	80.0						GEODETIC_DATUM_ASSUMED_WGS84		true	false	2688971	2688971	6	9	126	381	2278	2688968		2688971	Plagiochila punctata	Plagiochila	Plagiochila punctata (Taylor) Taylor	Plagiochila punctata		DWC_ARCHIVE	2020-09-01T15:15:17.862Z	2020-09-01T10:12:45.450Z	false				NOR	Norway	NOR.7_1	Hordaland	NOR.7.29_1	Sveio		
1058270523																										1014-Occurrence-5										CC_BY_4_0					Biodiversity Data Journal	http://dx.doi.org/10.3897/BDJ.1.e1014															6415		TIR!		New records for Albania based on taxa from the Prespa National Park		UNKNOWN				1014-Occurrence-5			Shuka									PRESENT																			2012-07-15T00:00:00				2012	7	15																AL					Prespa area, Cerja Pass, between the villages of Zaroshka and Cerja	1110 m						40.75	20.933333																																									1014-sp3		4253748						Centaurea rupestris subsp. kozanii E.Routsi & T.Georgiadis								Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Centaurea		rupestris	kozanii	SUBSPECIES				SYNONYM			79411ac9-2bee-443b-970a-47197751c777	BG	2020-09-01T16:13:11.294Z							BASIS_OF_RECORD_INVALID;TYPE_STATUS_INVALID;GEODETIC_DATUM_ASSUMED_WGS84		true	false	4248766	4253748	6	7707728	220	414	3065	3127469		3127539	Centaurea finazzeri	Centaurea	Centaurea finazzeri subsp. kozanii (Routsi & T.Georgiadis) Greuter	Centaurea rupestris subsp. kozanii Routsi & T. Georgiadis, 1994		DWC_ARCHIVE	2020-09-01T16:13:11.294Z	2020-08-27T00:39:58.159Z	true				ALB	Albania	ALB.7_1	Korçë	ALB.7.3_1	Korçës	ALB.7.3.7_1	Liqenas
1058270538																										1014-Occurrence-41										CC_BY_4_0					Biodiversity Data Journal	http://dx.doi.org/10.3897/BDJ.1.e1014																			New records for Albania based on taxa from the Prespa National Park		OBSERVATION				1014-Occurrence-41			Shuka									PRESENT																			2011-07-09T00:00:00				2011	7	9																AL					Ivani Mt	1750 m						40.733333	20.883333																																									1014-sp15		7296288						Viola eximia Formánek								Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Violaceae	Viola		eximia		SPECIES				ACCEPTED			79411ac9-2bee-443b-970a-47197751c777	BG	2020-09-01T16:13:11.291Z							TYPE_STATUS_INVALID;GEODETIC_DATUM_ASSUMED_WGS84		true	false	7296288	7296288	6	7707728	220	1414	6631	2874237		7296288	Viola eximia	Viola	Viola eximia Formánek	Viola eximia Formánek, 1900		DWC_ARCHIVE	2020-09-01T16:13:11.291Z	2020-08-27T00:39:58.159Z	true				ALB	Albania	ALB.7_1	Korçë	ALB.7.3_1	Korçës	ALB.7.3.7_1	Liqenas
1058270525																										1014-Occurrence-42										CC_BY_4_0					Biodiversity Data Journal	http://dx.doi.org/10.3897/BDJ.1.e1014																	TIR!		New records for Albania based on taxa from the Prespa National Park		UNKNOWN				1014-Occurrence-42		5312	Shuka									PRESENT																			2012-05-29T00:00:00				2012	5	29																AL					Ivani Mt	1662 m						40.716667	20.883333																																									1014-sp15		7296288						Viola eximia Formánek								Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Violaceae	Viola		eximia		SPECIES				ACCEPTED			79411ac9-2bee-443b-970a-47197751c777	BG	2020-09-01T16:13:11.295Z							BASIS_OF_RECORD_INVALID;TYPE_STATUS_INVALID;GEODETIC_DATUM_ASSUMED_WGS84		true	false	7296288	7296288	6	7707728	220	1414	6631	2874237		7296288	Viola eximia	Viola	Viola eximia Formánek	Viola eximia Formánek, 1900		DWC_ARCHIVE	2020-09-01T16:13:11.295Z	2020-08-27T00:39:58.159Z	true				ALB	Albania	ALB.7_1	Korçë	ALB.7.3_1	Korçës	ALB.7.3.12_1	Pojan
1058270532																										1014-Occurrence-6										CC_BY_4_0					Biodiversity Data Journal	http://dx.doi.org/10.3897/BDJ.1.e1014																	TIR!		New records for Albania based on taxa from the Prespa National Park		UNKNOWN				1014-Occurrence-6		s. n	Palikuqi									PRESENT																			1959-07-09T00:00:00				1959	7	9																AL					Dry Mt, above the villages of Korita and Shengjergji, rocky cliffs	1200 m																																																1014-sp4		3128704						Centaurea soskae Hayek ex Košanin								Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Centaurea		soskae		SPECIES				DOUBTFUL			79411ac9-2bee-443b-970a-47197751c777	BG	2020-09-01T16:13:11.301Z							BASIS_OF_RECORD_INVALID;TYPE_STATUS_INVALID		false	false	3128704	3128704	6	7707728	220	414	3065	3127469		3128704	Centaurea soskae	Centaurea	Centaurea soskae Hayek ex Košanin	Centaurea soskae Hayek ex Kosanin, 1926		DWC_ARCHIVE	2020-09-01T16:13:11.301Z	2020-08-27T00:39:58.159Z	true											
1058270552																										1014-Occurrence-20										CC_BY_4_0					Biodiversity Data Journal	http://dx.doi.org/10.3897/BDJ.1.e1014																			New records for Albania based on taxa from the Prespa National Park		OBSERVATION				1014-Occurrence-20			Dieterich & Shuka									PRESENT																			2011-07-08T00:00:00				2011	7	8																AL					Pllaja e Pusit (near border)	2200 m						40.866667	20.833333																																									1014-sp9		3164467						Edraianthus horvatii R.Lakusic								Plantae	Tracheophyta	Magnoliopsida	Asterales	Campanulaceae	Edraianthus		horvatii		SPECIES				ACCEPTED			79411ac9-2bee-443b-970a-47197751c777	BG	2020-09-01T16:13:11.298Z							TYPE_STATUS_INVALID;GEODETIC_DATUM_ASSUMED_WGS84		true	false	3164467	3164467	6	7707728	220	414	8801	3164387		3164467	Edraianthus horvatii	Edraianthus	Edraianthus horvatii R.Lakusic	Edraianthus horvatii Lakusic, 1973		DWC_ARCHIVE	2020-09-01T16:13:11.298Z	2020-08-27T00:39:58.159Z	true				ALB	Albania	ALB.7_1	Korçë	ALB.7.4_1	Pogradecit	ALB.7.4.2_1	Çërravë
1058270516																										1014-Occurrence-7										CC_BY_4_0					Biodiversity Data Journal	http://dx.doi.org/10.3897/BDJ.1.e1014																	TIR!		New records for Albania based on taxa from the Prespa National Park		UNKNOWN				1014-Occurrence-7		s. n	Vangjeli & Tartari									PRESENT																			1971-06-22T00:00:00				1971	6	22																AL					Guri i Shengjergjit (Rock of Shengjergji)	900 m																																																1014-sp4		3128704						Centaurea soskae Hayek ex Košanin								Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Centaurea		soskae		SPECIES				DOUBTFUL			79411ac9-2bee-443b-970a-47197751c777	BG	2020-09-01T16:13:11.301Z							BASIS_OF_RECORD_INVALID;TYPE_STATUS_INVALID		false	false	3128704	3128704	6	7707728	220	414	3065	3127469		3128704	Centaurea soskae	Centaurea	Centaurea soskae Hayek ex Košanin	Centaurea soskae Hayek ex Kosanin, 1926		DWC_ARCHIVE	2020-09-01T16:13:11.301Z	2020-08-27T00:39:58.159Z	true											
1058270521																										1014-Occurrence-40										CC_BY_4_0					Biodiversity Data Journal	http://dx.doi.org/10.3897/BDJ.1.e1014																			New records for Albania based on taxa from the Prespa National Park		OBSERVATION				1014-Occurrence-40			Shuka									PRESENT																			2011-07-07T00:00:00				2011	7	7																AL					Pllaja e Pusit	2224 m						40.9	20.816667																																									1014-sp15		7296288						Viola eximia Formánek								Plantae	Tracheophyta	Magnoliopsida	Malpighiales	Violaceae	Viola		eximia		SPECIES				ACCEPTED			79411ac9-2bee-443b-970a-47197751c777	BG	2020-09-01T16:13:11.302Z							TYPE_STATUS_INVALID;GEODETIC_DATUM_ASSUMED_WGS84		true	false	7296288	7296288	6	7707728	220	1414	6631	2874237		7296288	Viola eximia	Viola	Viola eximia Formánek	Viola eximia Formánek, 1900		DWC_ARCHIVE	2020-09-01T16:13:11.302Z	2020-08-27T00:39:58.159Z	true				ALB	Albania	ALB.7_1	Korçë	ALB.7.4_1	Pogradecit	ALB.7.4.2_1	Çërravë
1058270539																										1014-Occurrence-8										CC_BY_4_0					Biodiversity Data Journal	http://dx.doi.org/10.3897/BDJ.1.e1014																			New records for Albania based on taxa from the Prespa National Park		OBSERVATION				1014-Occurrence-8			Dieterich & Shuka									PRESENT																			2011-07-13T00:00:00				2011	7	13																AL					western slopes of Dry Mt	928–1060 m						40.766667	20.816667																																									1014-sp4		3128704						Centaurea soskae Hayek ex Košanin								Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Centaurea		soskae		SPECIES				DOUBTFUL			79411ac9-2bee-443b-970a-47197751c777	BG	2020-09-01T16:13:11.304Z							TYPE_STATUS_INVALID;GEODETIC_DATUM_ASSUMED_WGS84		true	false	3128704	3128704	6	7707728	220	414	3065	3127469		3128704	Centaurea soskae	Centaurea	Centaurea soskae Hayek ex Košanin	Centaurea soskae Hayek ex Kosanin, 1926		DWC_ARCHIVE	2020-09-01T16:13:11.304Z	2020-08-27T00:39:58.159Z	true				ALB	Albania	ALB.7_1	Korçë	ALB.7.3_1	Korçës	ALB.7.3.12_1	Pojan
1058270527																										1014-Occurrence-4										CC_BY_4_0					Biodiversity Data Journal	http://dx.doi.org/10.3897/BDJ.1.e1014																	TIR!		New records for Albania based on taxa from the Prespa National Park		UNKNOWN				1014-Occurrence-4		5426	Shuka									PRESENT																			2011-07-13T00:00:00				2011	7	13																AL					Calcareous rocky cliffs of the Gollomboçi Peninsula in Lake Megali Prespa, 7–15 m above the lake shore	855 m						40.85	20.95																																									1014-sp2		3127475						Centaurea galicicae Micevski								Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Centaurea		galicicae		SPECIES				ACCEPTED			79411ac9-2bee-443b-970a-47197751c777	BG	2020-09-01T16:13:11.306Z							BASIS_OF_RECORD_INVALID;TYPE_STATUS_INVALID;GEODETIC_DATUM_ASSUMED_WGS84		true	false	3127475	3127475	6	7707728	220	414	3065	3127469		3127475	Centaurea galicicae	Centaurea	Centaurea galicicae Micevski	Centaurea galicicae Micevski, 1985		DWC_ARCHIVE	2020-09-01T16:13:11.306Z	2020-08-27T00:39:58.159Z	true				ALB	Albania	ALB.7_1	Korçë	ALB.7.3_1	Korçës	ALB.7.3.7_1	Liqenas
1058270543																										1014-Occurrence-9										CC_BY_4_0					Biodiversity Data Journal	http://dx.doi.org/10.3897/BDJ.1.e1014																			New records for Albania based on taxa from the Prespa National Park		OBSERVATION				1014-Occurrence-9			Shuka									PRESENT																			2011-07-13T00:00:00				2011	7	13																AL					Gollomboçi Peninsula, Lake Megali Prespa	855 m						40.85	20.95																																									1014-sp4		3128704						Centaurea soskae Hayek ex Košanin								Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Centaurea		soskae		SPECIES				DOUBTFUL			79411ac9-2bee-443b-970a-47197751c777	BG	2020-09-01T16:13:11.308Z							TYPE_STATUS_INVALID;GEODETIC_DATUM_ASSUMED_WGS84		true	false	3128704	3128704	6	7707728	220	414	3065	3127469		3128704	Centaurea soskae	Centaurea	Centaurea soskae Hayek ex Košanin	Centaurea soskae Hayek ex Kosanin, 1926		DWC_ARCHIVE	2020-09-01T16:13:11.308Z	2020-08-27T00:39:58.159Z	true				ALB	Albania	ALB.7_1	Korçë	ALB.7.3_1	Korçës	ALB.7.3.7_1	Liqenas
1058270526																										1014-Occurrence-29										CC_BY_4_0					Biodiversity Data Journal	http://dx.doi.org/10.3897/BDJ.1.e1014																			New records for Albania based on taxa from the Prespa National Park		OBSERVATION				1014-Occurrence-29			Shuka									PRESENT																			2012-07-06T00:00:00				2012	7	6																AL					Prespa area, near the village Cerja and to the NW of Kapshtica village	1170 m						40.616667	21.016667																																									1014-sp12		3904658						Stachys plumosa Griseb.								Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Stachys		plumosa		SPECIES				ACCEPTED			79411ac9-2bee-443b-970a-47197751c777	BG	2020-09-01T16:13:11.309Z							TYPE_STATUS_INVALID;GEODETIC_DATUM_ASSUMED_WGS84		true	false	3904658	3904658	6	7707728	220	408	2497	2927228		3904658	Stachys plumosa	Stachys	Stachys plumosa Griseb.	Stachys plumosa Griseb., 1844		DWC_ARCHIVE	2020-09-01T16:13:11.309Z	2020-08-27T00:39:58.159Z	true				ALB	Albania	ALB.7_1	Korçë	ALB.7.1_1	Devollit	ALB.7.1.2_1	Bilisht
1058270530																										1014-Occurrence-27										CC_BY_4_0					Biodiversity Data Journal	http://dx.doi.org/10.3897/BDJ.1.e1014																	TIR!		New records for Albania based on taxa from the Prespa National Park		UNKNOWN				1014-Occurrence-27		5574	Shuka									PRESENT																			2011-07-11T00:00:00				2011	7	11																AL					peak of Zvezda	1704 m						40.75	20.85																																									1014-sp10		5346936						Astragalus mayeri Micevski								Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Astragalus		mayeri		SPECIES				ACCEPTED			79411ac9-2bee-443b-970a-47197751c777	BG	2020-09-01T16:13:11.311Z							BASIS_OF_RECORD_INVALID;TYPE_STATUS_INVALID;GEODETIC_DATUM_ASSUMED_WGS84		true	false	5346936	5346936	6	7707728	220	1370	5386	2933951		5346936	Astragalus mayeri	Astragalus	Astragalus mayeri Micevski	Astragalus mayeri Micevski, 1970		DWC_ARCHIVE	2020-09-01T16:13:11.311Z	2020-08-27T00:39:58.159Z	true				ALB	Albania	ALB.7_1	Korçë	ALB.7.3_1	Korçës	ALB.7.3.12_1	Pojan
1058270522																										1014-Occurrence-28										CC_BY_4_0					Biodiversity Data Journal	http://dx.doi.org/10.3897/BDJ.1.e1014																	TIR!		New records for Albania based on taxa from the Prespa National Park		UNKNOWN				1014-Occurrence-28		5529	Shuka									PRESENT																			2011-07-13T00:00:00				2011	7	13																AL					Dry Mt, rocky cliffs above Korita village	1000 m						40.766667	20.85																																									1014-sp11		7307169						Micromeria cristata (Hampe) Griseb.								Plantae	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Micromeria		cristata		SPECIES				ACCEPTED			79411ac9-2bee-443b-970a-47197751c777	BG	2020-09-01T16:13:11.314Z							BASIS_OF_RECORD_INVALID;TYPE_STATUS_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_HIGHERRANK		true	false	7307169	7307169	6	7707728	220	408	2497	2927114		7307169	Micromeria cristata	Micromeria	Micromeria cristata (Hampe) Griseb.	Micromeria cristata subsp. kosaninii Silić) Bräuchler & Govaerts, 2008		DWC_ARCHIVE	2020-09-01T16:13:11.314Z	2020-08-27T00:39:58.159Z	true				ALB	Albania	ALB.7_1	Korçë	ALB.7.3_1	Korçës	ALB.7.3.7_1	Liqenas
